,Bankruptcies
1981-01-01,509.0
1981-02-01,588.0
1981-03-01,567.0
1981-04-01,607.0
1981-05-01,530.0
1981-06-01,557.0
1981-07-01,667.0
1981-08-01,496.0
1981-09-01,725.0
1981-10-01,702.0
1981-11-01,648.0
1981-12-01,692.0
1982-01-01,674.0
1982-02-01,722.0
1982-03-01,870.0
1982-04-01,695.0
1982-05-01,555.0
1982-06-01,748.0
1982-07-01,690.0
1982-08-01,613.0
1982-09-01,797.0
1982-10-01,736.0
1982-11-01,789.0
1982-12-01,755.0
1983-01-01,726.0
1983-02-01,674.0
1983-03-01,884.0
1983-04-01,629.0
1983-05-01,637.0
1983-06-01,720.0
1983-07-01,521.0
1983-08-01,635.0
1983-09-01,648.0
1983-10-01,540.0
1983-11-01,602.0
1983-12-01,475.0
1984-01-01,571.0
1984-02-01,659.0
1984-03-01,623.0
1984-04-01,453.0
1984-05-01,560.0
1984-06-01,491.0
1984-07-01,423.0
1984-08-01,563.0
1984-09-01,481.0
1984-10-01,567.0
1984-11-01,473.0
1984-12-01,360.0
1985-01-01,560.0
1985-02-01,458.0
1985-03-01,542.0
1985-04-01,446.0
1985-05-01,494.0
1985-06-01,424.0
1985-07-01,439.0
1985-08-01,385.0
1985-09-01,398.0
1985-10-01,493.0
1985-11-01,418.0
1985-12-01,321.0
1986-01-01,370.0
1986-02-01,319.0
1986-03-01,397.0
1986-04-01,399.0
1986-05-01,362.0
1986-06-01,395.0
1986-07-01,364.0
1986-08-01,351.0
1986-09-01,396.0
1986-10-01,378.0
1986-11-01,395.0
1986-12-01,322.0
1987-01-01,330.0
1987-02-01,341.0
1987-03-01,345.0
1987-04-01,338.0
1987-05-01,280.0
1987-06-01,273.0
1987-07-01,354.0
1987-08-01,259.0
1987-09-01,358.0
1987-10-01,314.0
1987-11-01,283.0
1987-12-01,311.0
1988-01-01,287.0
1988-02-01,347.0
1988-03-01,368.0
1988-04-01,288.0
1988-05-01,330.0
1988-06-01,367.0
1988-07-01,288.0
1988-08-01,305.0
1988-09-01,302.0
1988-10-01,333.0
1988-11-01,372.0
1988-12-01,262.0
1989-01-01,332.0
1989-02-01,303.0
1989-03-01,360.0
1989-04-01,287.0
1989-05-01,302.0
1989-06-01,328.0
1989-07-01,261.0
1989-08-01,289.0
1989-09-01,322.0
1989-10-01,305.0
1989-11-01,354.0
1989-12-01,236.0
1990-01-01,342.0
1990-02-01,266.0
1990-03-01,327.0
1990-04-01,270.0
1990-05-01,318.0
1990-06-01,284.0
1990-07-01,276.0
1990-08-01,270.0
1990-09-01,321.0
1990-10-01,331.0
1990-11-01,303.0
1990-12-01,211.0
1991-01-01,324.0
1991-02-01,319.0
1991-03-01,337.0
1991-04-01,290.0
1991-05-01,343.0
1991-06-01,315.0
1991-07-01,336.0
1991-08-01,287.0
1991-09-01,302.0
1991-10-01,453.0
1991-11-01,419.0
1991-12-01,350.0
1992-01-01,358.0
1992-02-01,351.0
1992-03-01,414.0
1992-04-01,441.0
1992-05-01,378.0
1992-06-01,374.0
1992-07-01,421.0
1992-08-01,315.0
1992-09-01,514.0
1992-10-01,506.0
1992-11-01,464.0
1992-12-01,509.0
1993-01-01,454.0
1993-02-01,461.0
1993-03-01,639.0
1993-04-01,507.0
1993-05-01,496.0
1993-06-01,557.0
1993-07-01,569.0
1993-08-01,508.0
1993-09-01,586.0
1993-10-01,504.0
1993-11-01,596.0
1993-12-01,551.0
1994-01-01,535.0
1994-02-01,534.0
1994-03-01,686.0
1994-04-01,497.0
1994-05-01,432.0
1994-06-01,621.0
1994-07-01,463.0
1994-08-01,602.0
1994-09-01,548.0
1994-10-01,473.0
1994-11-01,622.0
1994-12-01,451.0
1995-01-01,514.0
1995-02-01,453.0
1995-03-01,565.0
1995-04-01,478.0
1995-05-01,443.0
1995-06-01,455.0
1995-07-01,476.0
1995-08-01,506.0
1995-09-01,510.0
1995-10-01,528.0
1995-11-01,515.0
1995-12-01,404.0
1996-01-01,494.0
1996-02-01,440.0
1996-03-01,477.0
1996-04-01,437.0
1996-05-01,482.0
1996-06-01,454.0
1996-07-01,450.0
1996-08-01,438.0
1996-09-01,454.0
1996-10-01,550.0
1996-11-01,455.0
1996-12-01,446.0
1997-01-01,536.0
1997-02-01,477.0
1997-03-01,437.0
1997-04-01,470.0
1997-05-01,481.0
1997-06-01,418.0
1997-07-01,492.0
1997-08-01,364.0
1997-09-01,475.0
1997-10-01,497.0
1997-11-01,471.0
1997-12-01,429.0
1998-01-01,415.0
1998-02-01,423.0
1998-03-01,538.0
1998-04-01,502.0
1998-05-01,356.0
1998-06-01,439.0
1998-07-01,444.0
1998-08-01,326.0
1998-09-01,540.0
1998-10-01,364.0
1998-11-01,378.0
1998-12-01,306.0
1999-01-01,285.0
1999-02-01,327.0
1999-03-01,390.0
1999-04-01,342.0
1999-05-01,263.0
1999-06-01,364.0
1999-07-01,281.0
1999-08-01,273.0
1999-09-01,346.0
1999-10-01,308.0
1999-11-01,332.0
1999-12-01,329.0
2000-01-01,310.0
2000-02-01,345.0
2000-03-01,365.0
2000-04-01,306.0
2000-05-01,379.0
2000-06-01,336.0
2000-07-01,356.0
2000-08-01,452.0
2000-09-01,354.0
2000-10-01,440.0
2000-11-01,495.0
2000-12-01,360.0
2001-01-01,447.0
2001-02-01,451.0
2001-03-01,453.0
2001-04-01,427.0
2001-05-01,544.0
2001-06-01,440.0
2001-07-01,540.0
2001-08-01,520.0
2001-09-01,462.0
2001-10-01,589.0
2001-11-01,530.0
2001-12-01,431.0
2002-01-01,602.0
2002-02-01,520.0
2002-03-01,506.0
2002-04-01,486.0
2002-05-01,532.0
2002-06-01,535.0
2002-07-01,672.0
2002-08-01,493.0
2002-09-01,575.0
2002-10-01,703.0
2002-11-01,586.0
2002-12-01,561.0
2003-01-01,657.0
2003-02-01,639.0
2003-03-01,620.0
2003-04-01,794.0
2003-05-01,757.0
