,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8
1986-04-01,2,6,0,6,5,0,1,-1
1986-05-01,8,17,1,17,16,1,5,-2
1986-06-01,15,33,3,35,30,2,11,-5
1986-07-01,20,45,4,49,41,4,12,-6
1986-08-01,21,47,4,53,41,7,14,-7
1986-09-01,21,45,5,52,39,7,17,-8
1986-10-01,21,45,6,52,39,8,17,-8
1986-11-01,21,44,5,50,38,7,19,-10
1986-12-01,20,43,5,49,37,6,19,-12
1987-01-01,22,45,6,51,39,8,20,-10
1987-02-01,23,45,8,51,39,10,22,-8
1987-03-01,22,43,8,49,37,11,22,-9
1987-04-01,10,15,7,23,7,10,15,-3
1987-05-01,1,-2,4,3,-8,8,11,-7
1987-06-01,-2,-10,3,-7,-14,8,9,-6
1987-07-01,-3,-13,4,-9,-17,8,10,-4
1987-08-01,2,-3,5,-1,-5,7,12,-4
1987-09-01,11,19,6,18,19,8,16,-6
1987-10-01,6,9,4,11,6,7,14,-10
1987-11-01,4,4,3,9,-2,8,12,-10
1987-12-01,1,-2,3,4,-8,8,11,-11
1988-01-01,-3,-13,4,-7,-19,10,10,-9
1988-02-01,-3,-14,5,-10,-18,9,12,-7
1988-03-01,1,-8,7,-4,-13,11,13,-4
1988-04-01,5,2,7,3,1,11,16,-5
1988-05-01,6,4,7,4,4,10,16,-5
1988-06-01,6,4,7,5,4,11,16,-5
1988-07-01,9,10,9,11,10,11,18,-3
1988-08-01,15,20,11,21,19,13,21,-1
1988-09-01,13,16,10,19,14,13,20,-1
1988-10-01,14,22,9,24,21,11,19,-3
1988-11-01,18,29,11,30,28,14,21,-2
1988-12-01,18,32,8,33,31,12,20,-6
1989-01-01,20,34,10,37,31,14,20,-3
1989-02-01,18,31,9,35,27,13,19,-4
1989-03-01,20,33,12,38,29,16,19,0
1989-04-01,20,32,11,37,27,16,19,-1
1989-05-01,17,26,11,33,19,16,17,0
1989-06-01,19,28,14,34,22,18,20,3
1989-07-01,23,35,15,40,29,20,22,4
1989-08-01,23,34,16,38,30,20,24,4
1989-09-01,23,34,16,38,30,20,24,4
1989-10-01,24,35,17,40,29,21,26,5
1989-11-01,25,36,17,41,32,22,27,3
1989-12-01,24,34,17,38,31,22,27,3
1990-01-01,23,34,16,37,31,20,26,2
1990-02-01,19,26,14,30,23,20,23,0
1990-03-01,19,26,14,31,20,22,24,-3
1990-04-01,18,22,15,30,15,24,23,-3
1990-05-01,16,17,15,24,10,25,22,-2
1990-06-01,15,14,15,19,9,25,21,-2
1990-07-01,15,13,17,18,9,28,21,2
1990-08-01,15,10,19,20,-1,29,21,6
1990-09-01,9,-4,17,10,-17,27,18,5
1990-10-01,2,-17,15,-3,-31,26,15,4
1990-11-01,-5,-31,12,-18,-44,23,12,0
1990-12-01,-6,-32,12,-21,-43,23,12,2
1991-01-01,-7,-32,10,-16,-49,21,11,-1
1991-02-01,-11,-38,7,-21,-55,18,9,-7
1991-03-01,-7,-27,6,-22,-33,14,10,-6
1991-04-01,-8,-28,6,-25,-30,13,11,-7
1991-05-01,-5,-23,8,-22,-24,13,13,-4
1991-06-01,-4,-23,8,-22,-23,14,13,-3
1991-07-01,-7,-27,6,-27,-26,12,11,-5
1991-08-01,-9,-30,4,-31,-30,10,10,-6
1991-09-01,-11,-34,4,-34,-33,10,9,-7
1991-10-01,-15,-41,3,-40,-42,10,6,-8
1991-11-01,-14,-41,4,-41,-42,11,7,-4
1991-12-01,-12,-38,6,-36,-39,13,9,-4
1992-01-01,-12,-38,6,-35,-41,13,8,-5
1992-02-01,-14,-40,3,-40,-41,7,8,-6
1992-03-01,-14,-39,3,-39,-38,6,10,-7
1992-04-01,-14,-38,3,-40,-36,5,11,-8
1992-05-01,-12,-35,3,-38,-32,5,12,-8
1992-06-01,-7,-27,6,-30,-23,7,15,-5
1992-07-01,-3,-18,8,-22,-14,8,17,-2
1992-08-01,-2,-18,9,-22,-14,9,18,-2
1992-09-01,-3,-21,9,-23,-20,12,18,-2
1992-10-01,-5,-25,8,-26,-24,12,16,-2
1992-11-01,-10,-37,8,-36,-38,12,13,-3
1992-12-01,-16,-48,5,-49,-48,11,10,-6
1993-01-01,-17,-47,4,-51,-44,10,9,-7
1993-02-01,-20,-53,2,-60,-46,7,8,-10
1993-03-01,-24,-62,1,-70,-53,6,8,-12
1993-04-01,-24,-60,0,-70,-50,6,8,-13
1993-05-01,-23,-55,-1,-67,-44,3,6,-14
1993-06-01,-22,-53,-1,-64,-41,4,5,-14
1993-07-01,-22,-53,-1,-65,-42,6,5,-13
1993-08-01,-17,-45,1,-59,-32,6,6,-8
1993-09-01,-13,-35,1,-50,-19,5,8,-9
1993-10-01,-17,-39,-2,-56,-22,2,5,-12
1993-11-01,-14,-34,-1,-53,-15,3,6,-13
1993-12-01,-16,-38,0,-56,-21,4,5,-9
1994-01-01,-17,-41,0,-60,-22,5,4,-10
1994-02-01,-14,-34,0,-54,-14,5,4,-8
1994-03-01,-9,-24,1,-45,-3,5,4,-7
1994-04-01,-5,-16,1,-38,7,5,6,-6
1994-05-01,-4,-12,2,-35,12,4,7,-6
1994-06-01,0,-4,2,-26,19,2,9,-6
1994-07-01,1,0,1,-18,18,2,10,-7
1994-08-01,6,13,2,-2,28,2,12,-8
1994-09-01,12,26,4,15,36,3,12,-5
1994-10-01,10,21,2,12,30,2,10,-5
1994-11-01,9,19,2,13,24,1,9,-4
1994-12-01,3,8,0,1,14,-1,7,-5
1995-01-01,2,7,-1,-1,15,-4,6,-6
1995-02-01,8,16,2,10,23,-1,10,-3
1995-03-01,12,23,5,19,26,3,12,0
1995-04-01,11,18,6,16,20,3,12,1
1995-05-01,12,20,7,18,21,5,11,4
1995-06-01,9,14,6,13,15,4,12,3
1995-07-01,10,13,8,14,12,7,13,4
1995-08-01,14,19,10,19,20,9,15,6
1995-09-01,14,18,11,17,19,9,15,7
1995-10-01,17,25,12,23,26,10,17,9
1995-11-01,17,24,11,23,25,10,17,8
1995-12-01,11,16,7,12,19,5,13,3
1996-01-01,9,13,6,10,16,5,11,2
1996-02-01,4,1,5,-1,3,4,11,1
1996-03-01,-2,-13,4,-13,-12,2,9,1
1996-04-01,-4,-19,6,-19,-20,5,11,2
1996-05-01,0,-10,6,-12,-9,5,13,1
1996-06-01,4,-2,8,-4,0,6,15,4
1996-07-01,9,7,10,4,10,7,18,6
1996-08-01,9,7,11,3,10,8,18,6
1996-09-01,12,13,11,10,17,9,20,5
