,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8
1995-01-01,40327.0,38359.0,
1995-04-01,41137.0,46028.0,
1995-07-01,41683.0,39186.0,
1995-10-01,42425.0,41590.0,
1996-01-01,42079.0,39949.0,4.6
1996-04-01,42764.0,47685.0,4.0
1996-07-01,43266.0,40482.0,3.7
1996-10-01,43911.0,42792.0,3.3
1997-01-01,44418.0,42212.0,6.0
1997-04-01,45030.0,50102.0,5.3
1997-07-01,45652.0,42545.0,5.4
1997-10-01,46602.0,45168.0,5.8
1998-01-01,47568.0,45270.0,7.5
1998-04-01,48127.0,53415.0,6.8
1998-07-01,49114.0,45626.0,7.5
1998-10-01,49966.0,48186.0,6.9
1999-01-01,51051.0,48761.0,7.7
1999-04-01,51901.0,57596.0,7.8
1999-07-01,52840.0,49081.0,7.6
1999-10-01,53889.0,51966.0,7.7
2000-01-01,55575.0,53199.0,9.0
2000-04-01,56200.0,62382.0,8.3
2000-07-01,57156.0,53140.0,8.2
2000-10-01,57834.0,55762.0,7.3
2001-01-01,58757.0,56158.0,5.6
2001-04-01,59294.0,65887.0,5.6
2001-07-01,60377.0,56100.0,5.6
2001-10-01,60656.0,58550.0,5.0
2002-01-01,62199.0,59253.0,5.5
2002-04-01,62453.0,69563.0,5.6
2002-07-01,62961.0,58356.0,4.1
2002-10-01,63353.0,61293.0,4.8
2003-01-01,63730.0,60479.0,1.9
2003-04-01,64318.0,72057.0,3.4
2003-07-01,64616.0,59854.0,2.4
2003-10-01,65038.0,63262.0,3.0
2004-01-01,64981.0,61192.0,1.4
2004-04-01,65344.0,73327.0,2.0
2004-07-01,65440.0,60242.0,0.9
2004-10-01,65687.0,63970.0,1.4
2005-01-01,65712.0,61826.0,0.8
2005-04-01,66379.0,74837.0,1.8
2005-07-01,66994.0,61611.0,2.0
2005-10-01,66621.0,65353.0,1.8
2006-01-01,67021.0,63101.0,1.9
2006-04-01,68324.0,77117.0,3.0
2006-07-01,68949.0,63258.0,2.5
2006-10-01,70219.0,69152.0,5.9
2007-01-01,70849.0,66708.0,5.8
2007-04-01,71722.0,80804.0,4.8
2007-07-01,73001.0,66750.0,5.5
2007-10-01,74800.0,74070.0,7.0
2008-01-01,76035.0,71633.0,7.3
2008-04-01,76527.0,86052.0,6.5
2008-07-01,77175.0,70434.0,5.5
2008-10-01,77727.0,77329.0,4.4
2009-01-01,77917.0,73094.0,2.3
2009-04-01,78266.0,87544.0,2.1
2009-07-01,77909.0,70807.0,0.8
2009-10-01,77854.0,77595.0,0.6
2010-01-01,76750.0,71808.0,-1.8
2010-04-01,77634.0,86806.0,-1.0
2010-07-01,78086.0,70932.0,0.2
2010-10-01,79061.0,79182.0,2.0
2011-01-01,79203.0,74172.0,3.1
2011-04-01,79615.0,89054.0,2.4
2011-07-01,79996.0,72848.0,2.5
2011-10-01,80622.0,81074.0,2.2
2012-01-01,80398.0,75408.0,1.4
2012-04-01,80969.0,90520.0,1.5
2012-07-01,81101.0,74000.0,1.4
2012-10-01,81256.0,81822.0,1.0
2013-01-01,81461.0,76594.0,1.3
2013-04-01,81285.0,90999.0,0.2
2013-07-01,81247.0,74504.0,0.2
2013-10-01,80608.0,81636.0,-0.6
2014-01-01,81391.0,76619.0,-0.1
2014-04-01,81665.0,91428.0,0.3
2014-07-01,82150.0,75480.0,1.2
2014-10-01,82903.0,84245.0,3.0
2015-01-01,81928.0,76969.0,0.6
2015-04-01,82361.0,91969.0,0.7
2015-07-01,82748.0,76026.0,0.9
2015-10-01,83192.0,84550.0,0.4
2016-01-01,84146.0,79015.0,2.8
2016-04-01,84855.0,94463.0,2.9
2016-07-01,85560.0,78596.0,3.5
2016-10-01,86016.0,87168.0,3.4
2017-01-01,86619.0,81322.0,3.0
2017-04-01,87829.0,97575.0,3.3
2017-07-01,88591.0,81331.0,3.6
2017-10-01,89788.0,90914.0,4.3
2018-01-01,90796.0,85436.0,5.0
2018-04-01,91651.0,101651.0,4.1
2018-07-01,93237.0,85695.0,5.3
2018-10-01,94186.0,95406.0,4.9
2019-01-01,95642.0,90087.0,5.5
2019-04-01,96714.0,106959.0,5.3
2019-07-01,97604.0,89715.0,4.7
2019-10-01,98895.0,100322.0,5.1
2020-01-01,100275.0,94217.0,5.0
2020-04-01,98578.0,103450.0,1.6
2020-07-01,100338.0,90201.0,2.8
2020-10-01,103539.0,101221.0,5.0
2021-01-01,101948.0,92979.0,1.9
2021-04-01,103892.0,111963.0,5.1
2021-07-01,105743.0,95883.0,5.4
2021-10-01,107755.0,107757.0,4.0
2022-01-01,109937.0,103207.0,8.2
2022-04-01,111265.0,122153.0,6.8
2022-07-01,114261.0,104969.0,8.0
2022-10-01,116319.0,118114.0,7.9
2023-01-01,118400.0,112697.0,8.0
2023-04-01,120223.0,131673.0,7.9
2023-07-01,122579.0,112442.0,7.2
2023-10-01,124838.0,127017.0,7.4
2024-01-01,,,
