,Netherlands_GDP,Germany_GDP,France_GDP,Italy_GDP,Spain_GDP,Belgium_GDP,Europe_GDP
1975-01-01,,,,,,,
1975-04-01,,,,,,,
1975-07-01,,,,,,,
1975-10-01,,,,,,,
1976-01-01,,,,,,,
1976-04-01,,,,,,,
1976-07-01,,,,,,,
1976-10-01,,,,,,,
1977-01-01,,,,,,,
1977-04-01,,,,,,,
1977-07-01,,,,,,,
1977-10-01,,,,,,,
1978-01-01,,,,,,,
1978-04-01,,,,,,,
1978-07-01,,,,,,,
1978-10-01,,,,,,,
1979-01-01,,,,,,,
1979-04-01,,,,,,,
1979-07-01,,,,,,,
1979-10-01,,,,,,,
1980-01-01,,,247197.9,,,,
1980-04-01,,,245577.0,,,,
1980-07-01,,,246264.8,,,,
1980-10-01,,,245761.8,,,,
1981-01-01,,,246896.8,,,,
1981-04-01,,,248562.1,,,,
1981-07-01,,,250356.8,,,,
1981-10-01,,,251514.1,,,,
1982-01-01,,,253531.9,,,,
1982-04-01,,,255160.3,,,,
1982-07-01,,,254944.4,,,,
1982-10-01,,,256465.5,,,,
1983-01-01,,,257540.1,,,,
1983-04-01,,,257645.5,,,,
1983-07-01,,,258319.0,,,,
1983-10-01,,,259907.9,,,,
1984-01-01,,,260985.9,,,,
1984-04-01,,,262257.7,,,,
1984-07-01,,,264082.8,,,,
1984-10-01,,,264022.8,,,,
1985-01-01,,,264393.7,,,,
1985-04-01,,,266693.9,,,,
1985-07-01,,,268132.2,,,,
1985-10-01,,,269311.3,,,,
1986-01-01,,,269960.8,,,,
1986-04-01,,,272627.6,,,,
1986-07-01,,,273832.1,,,,
1986-10-01,,,274128.1,,,,
1987-01-01,,,274051.9,,,,
1987-04-01,,,277743.7,,,,
1987-07-01,,,279366.4,,,,
1987-10-01,,,283113.2,,,,
1988-01-01,,,286590.0,,,,
1988-04-01,,,289101.3,,,,
1988-07-01,,,292595.8,,,,
1988-10-01,,,295063.9,,,,
1989-01-01,,,299181.1,,,,
1989-04-01,,,302973.6,,,,
1989-07-01,,,306671.9,,,,
1989-10-01,,,310965.9,,,,
1990-01-01,,,311409.0,,,,
1990-04-01,,,313200.3,,,,
1990-07-01,,,315385.5,,,,
1990-10-01,,,315268.5,,,,
1991-01-01,,459697.5,316009.1,,,,
1991-04-01,,455257.2,317114.1,,,,
1991-07-01,,454669.5,318688.9,,,,
1991-10-01,,461199.3,320459.7,,,,
1992-01-01,,468316.8,322990.1,,,,
1992-04-01,,465117.2,323818.7,,,,
1992-07-01,,464333.6,323522.9,,,,
1992-10-01,,461917.6,323557.4,,,,
1993-01-01,,458864.9,322097.8,,,,
1993-04-01,,458473.1,321969.2,,,,
1993-07-01,,460040.3,322319.1,,,,
1993-10-01,,459909.7,322728.2,,,,
1994-01-01,,463550.0,324617.1,,,,
1994-04-01,,468120.9,327471.4,,,,
1994-07-01,,471059.3,330334.8,,,,
1994-10-01,,477001.4,333654.4,,,,
1995-01-01,,474585.4,335598.2,,164536.6,59267.5,1641.8
1995-04-01,,478960.3,337618.4,,165683.9,59606.9,1662.8
1995-07-01,,480266.3,338625.6,,166403.6,60056.7,1675.8
1995-10-01,,481441.7,338701.2,,167535.8,60231.7,1696.4
1996-01-01,102121.7,474193.6,340905.4,320169.0,168665.2,59803.1,1707.4
1996-04-01,103648.7,483335.3,341811.8,320831.7,169756.6,60153.9,1730.7
1996-07-01,104971.2,483661.8,342717.4,321335.4,171013.0,60443.2,1769.3
1996-10-01,105913.4,490191.6,344255.2,320083.4,171911.0,60954.1,1811.9
1997-01-01,106691.3,485980.3,345734.5,320755.1,173488.8,61529.9,1861.6
1997-04-01,108151.5,492248.5,349298.2,325467.1,174859.0,62396.6,1938.9
1997-07-01,109713.7,494403.2,352636.8,326535.0,176908.1,62949.1,1994.0
1997-10-01,111042.5,500279.6,356215.2,331525.6,179161.1,63280.7,2050.3
1998-01-01,112574.4,503267.5,359974.6,329623.8,180245.9,63403.1,2091.1
1998-04-01,113542.3,500982.0,362457.9,331585.7,182173.6,63609.6,2087.1
1998-07-01,114109.5,503594.0,364250.0,331585.4,183679.4,63832.6,2112.5
1998-10-01,115040.9,504769.4,366782.6,330467.9,185456.4,63982.6,2070.7
1999-01-01,117039.5,508344.4,369600.5,332080.3,187399.3,64546.3,2083.5
1999-04-01,118279.0,508279.1,372081.7,333142.1,189520.5,65398.1,2079.5
1999-07-01,119651.5,514678.3,377034.9,336742.1,192156.6,66358.5,2094.8
1999-10-01,121295.9,516833.2,382456.6,341612.4,194158.3,67002.1,2142.1
2000-01-01,122293.5,525517.7,387158.9,346155.4,197455.3,67515.8,2203.3
2000-04-01,123625.7,529566.2,391396.1,348219.1,199936.8,67980.5,2281.5
